hkl,ref_2theta,ref_intensity,exp_intensity,ratio,TC
110,10.676,8.0,11178.0,1397.25,5.216394291526739
020,15.029,25.0,14691.0,587.64,2.193853599193253
200,15.211,6.0,13868.0,2311.3333333333335,8.628968334811573
120,16.874,55.0,11329.0,205.98181818181817,0.7689979463388333
220,21.446,10.0,3816.0,381.6,1.4246384409709099
101,23.643,12.0,4265.0,355.4166666666667,1.326887436831964
130,23.901,30.0,3784.0,126.13333333333334,0.4708972624592874
310,24.152,16.0,3297.0,206.0625,0.7692991581304195
021,27.023,12.0,3076.0,256.3333333333333,0.9569767305264059
230,27.395,70.0,3521.0,50.3,0.18778646116571476
211,28.2,75.0,8268.0,110.24,0.411562216280485
040,30.326,2.0,2298.0,1149.0,4.289595305753604
400,30.699,4.0,2244.0,561.0,2.094397708031133
221,31.16,100.0,6657.0,66.57,0.24852772802786544
301,32.22,60.0,5755.0,95.91666666666667,0.35808849702077156
330,32.424,10.0,2312.0,231.2,0.863145722097679
311,33.115,20.0,2834.0,141.7,0.5290127544171328
240,34.075,60.0,2446.0,40.766666666666666,0.1521953890030942
420,34.358,20.0,2033.0,101.65,0.37949291804164825
321,35.7,30.0,2191.0,73.03333333333333,0.2726574793996561
041,37.984,25.0,2131.0,85.24,0.31822898508480174
340,38.354,14.0,1617.0,115.5,0.43119952812405676
430,38.49,14.0,1754.0,125.28571428571429,0.4677328214777957
141,38.801,35.0,2418.0,69.08571428571429,0.25791971774989964
411,39.081,12.0,2198.0,183.16666666666666,0.6838214738937062
510,39.456,8.0,2169.0,271.125,1.0121988923171852
331,39.71,8.0,2507.0,313.375,1.16993205303789
250,41.305,35.0,2547.0,72.77142857142857,0.2716797026918918
520,41.705,20.0,1953.0,97.65,0.3645596010503389
440,43.694,10.0,1515.0,151.5,0.5655993810458407
431,44.95,35.0,1962.0,56.05714285714286,0.2092797709782064
501,45.068,30.0,1804.0,60.13333333333333,0.22449753210268353
530,45.258,30.0,1664.0,55.46666666666667,0.207075328946156
151,45.354,25.0,1598.0,63.92,0.23863440552112303
002,45.571,25.0,5864.0,234.56,0.8756897083703788
060,46.209,8.0,1315.0,164.375,0.6136659951116176
600,46.84,8.0,1290.0,161.25,0.6019993412121571
160,46.892,8.0,1273.0,159.125,0.5940660165605242
610,47.49,8.0,1258.0,157.25,0.5870660242208479
212,48.902,8.0,1238.0,154.75,0.5777327011012795
620,49.469,4.0,1109.0,277.25,1.0350655339601276
441,49.584,4.0,1140.0,285.0,1.0639988356307895
540,49.903,4.0,1104.0,276.0,1.0303988724003434
351,50.765,8.0,1165.0,145.625,0.5436660717148551
531,51.039,16.0,1267.0,79.1875,0.2956330098123268
061,51.879,45.0,1861.0,41.355555555555554,0.15439390511570364
360,52.166,20.0,1430.0,71.5,0.2669330412196542
322,53.956,14.0,1147.0,81.92857142857143,0.30586633194699636
621,54.865,6.0,1040.0,173.33333333333334,0.6471104029567375
710,55.807,6.0,1069.0,178.16666666666666,0.6651548276545696
142,56.328,1.0,1102.0,1102.0,4.114128831105719
412,56.479,1.0,1037.0,1037.0,3.8714624299969427
640,56.821,6.0,1039.0,173.16666666666666,0.6464881814154328
270,56.898,8.0,1023.0,127.875,0.47739947756592
720,57.559,12.0,983.0,81.91666666666667,0.30582188755118894
242,58.115,18.0,1253.0,69.61111111111111,0.25988119708486923
422,58.276,10.0,1210.0,121.0,0.4517328389871071
370,59.854,8.0,961.0,120.125,0.44846617589525817
171,60.155,6.0,965.0,160.83333333333334,0.6004437873588958
