hkl,ref_2theta,ref_intensity,exp_intensity,ratio,TC
110,10.676,8.0,1870.0,233.75,5.295262569726111
020,15.029,25.0,2546.0,101.84,2.30703546567233
200,15.211,6.0,2188.0,364.6666666666667,8.260987167601234
120,16.874,55.0,1827.0,33.21818181818182,0.752509068732298
220,21.446,10.0,690.0,69.0,1.5630935499940177
101,23.643,12.0,761.0,63.416666666666664,1.4366113424461926
130,23.901,30.0,639.0,21.3,0.4825201828242403
310,24.152,16.0,534.0,33.375,0.7560615540731934
021,27.023,12.0,549.0,45.75,1.036398984235164
230,27.395,70.0,578.0,8.257142857142858,0.18705343103448083
211,28.2,75.0,1363.0,18.173333333333332,0.4116901465974582
040,30.326,2.0,409.0,204.5,4.632646825706908
400,30.699,4.0,367.0,91.75,2.0784613508978427
221,31.16,100.0,1099.0,10.99,0.24896229151353994
301,32.22,60.0,937.0,15.616666666666667,0.35377262230540935
330,32.424,10.0,386.0,38.6,0.8744262468082477
311,33.115,20.0,521.0,26.05,0.5901244489470169
240,34.075,60.0,396.0,6.6,0.1495132960863843
420,34.358,20.0,341.0,17.05,0.38624268155649283
321,35.7,30.0,374.0,12.466666666666667,0.28241400371872594
041,37.984,25.0,354.0,14.16,0.32077398069442453
340,38.354,14.0,316.0,22.571428571428573,0.5113225277413144
430,38.49,14.0,302.0,21.571428571428573,0.48866899803125613
141,38.801,35.0,435.0,12.428571428571429,0.2815510121107237
411,39.081,12.0,393.0,32.75,0.741903098004407
510,39.456,8.0,365.0,45.625,1.0335672930214068
331,39.71,8.0,447.0,55.875,1.2657659725495036
250,41.305,35.0,393.0,11.228571428571428,0.2543667764586538
520,41.705,20.0,359.0,17.95,0.4066308582955452
440,43.694,10.0,233.0,23.3,0.5278272422443567
431,44.95,35.0,295.0,8.428571428571429,0.1909368932704908
501,45.068,30.0,282.0,9.4,0.21294317927454737
530,45.258,30.0,268.0,8.933333333333334,0.2023715320765202
151,45.354,25.0,238.0,9.52,0.21566160283975433
002,45.571,25.0,956.0,38.24,0.8662709761126267
060,46.209,8.0,236.0,29.5,0.6682791264467177
600,46.84,8.0,213.0,26.625,0.6031502285303003
160,46.892,8.0,221.0,27.625,0.6258037582403586
610,47.49,8.0,215.0,26.875,0.6088136109578149
212,48.902,8.0,214.0,26.75,0.6059819197440577
620,49.469,4.0,166.0,41.5,0.9401214829674165
441,49.584,4.0,186.0,46.5,1.0533891315177077
540,49.903,4.0,176.0,44.0,0.9967553072425621
351,50.765,8.0,182.0,22.75,0.5153678009038247
531,51.039,16.0,228.0,14.25,0.32281279836832977
061,51.879,45.0,303.0,6.733333333333333,0.1525337667143921
360,52.166,20.0,206.0,10.3,0.23333135601359978
322,53.956,14.0,198.0,14.142857142857142,0.3203856344708235
621,54.865,6.0,158.0,26.333333333333332,0.5965429490315334
710,55.807,6.0,189.0,31.5,0.7135861858668342
142,56.328,1.0,173.0,173.0,3.919060639840074
412,56.479,1.0,150.0,150.0,3.3980294565087346
640,56.821,6.0,172.0,28.666666666666668,0.6494011850216692
270,56.898,8.0,163.0,20.375,0.4615656678424364
720,57.559,12.0,166.0,13.833333333333334,0.3133738276558055
242,58.115,18.0,193.0,10.722222222222221,0.24289617966895766
422,58.276,10.0,202.0,20.2,0.45760130014317624
370,59.854,8.0,142.0,17.75,0.4021001523535336
171,60.155,6.0,157.0,26.166666666666668,0.5927673607465237
