/ SCAPS Absorption Data - CdS1
/ lambda[nm]	alpha[m^-1]
2.450000e+02	1.865101e+08
2.460000e+02	1.712331e+08
2.470000e+02	1.633960e+08
2.480000e+02	1.580759e+08
2.490000e+02	1.528995e+08
2.500000e+02	1.528924e+08
2.510000e+02	1.450495e+08
2.520000e+02	1.402419e+08
2.530000e+02	1.365191e+08
2.540000e+02	1.318160e+08
2.550000e+02	1.294692e+08
2.560000e+02	1.253556e+08
2.570000e+02	1.225989e+08
2.580000e+02	1.187202e+08
2.590000e+02	1.160613e+08
2.600000e+02	1.127251e+08
2.610000e+02	1.095143e+08
2.620000e+02	1.065564e+08
2.630000e+02	1.036776e+08
2.640000e+02	1.009202e+08
2.650000e+02	9.809957e+07
2.660000e+02	9.548738e+07
2.670000e+02	9.279839e+07
2.680000e+02	9.009173e+07
2.690000e+02	8.766231e+07
2.700000e+02	8.521002e+07
2.710000e+02	8.289720e+07
2.720000e+02	8.065068e+07
2.730000e+02	7.844942e+07
2.740000e+02	7.621386e+07
2.750000e+02	7.405454e+07
2.760000e+02	7.197851e+07
2.770000e+02	7.002820e+07
2.780000e+02	6.816087e+07
2.790000e+02	6.624555e+07
2.800000e+02	6.441106e+07
2.810000e+02	6.267551e+07
2.820000e+02	6.089760e+07
2.830000e+02	5.920225e+07
2.840000e+02	5.761577e+07
2.850000e+02	5.606126e+07
2.860000e+02	5.474234e+07
2.870000e+02	5.331611e+07
2.880000e+02	5.197138e+07
2.890000e+02	5.067824e+07
2.900000e+02	4.938368e+07
2.910000e+02	4.819530e+07
2.920000e+02	4.705630e+07
2.930000e+02	4.590308e+07
2.940000e+02	4.487614e+07
2.950000e+02	4.386813e+07
2.960000e+02	4.285617e+07
2.970000e+02	4.198014e+07
2.980000e+02	4.111005e+07
2.990000e+02	4.024679e+07
3.000000e+02	3.947137e+07
3.010000e+02	3.874726e+07
3.020000e+02	3.795886e+07
3.030000e+02	3.731109e+07
3.040000e+02	3.664459e+07
3.050000e+02	3.605647e+07
3.060000e+02	3.543016e+07
3.070000e+02	3.489310e+07
3.080000e+02	3.437388e+07
3.090000e+02	3.388696e+07
3.100000e+02	3.336644e+07
3.110000e+02	3.294000e+07
3.120000e+02	3.253091e+07
3.130000e+02	3.214939e+07
3.140000e+02	3.178509e+07
3.150000e+02	3.137397e+07
3.160000e+02	3.105506e+07
3.170000e+02	3.069144e+07
3.180000e+02	3.037515e+07
3.190000e+02	3.005096e+07
3.200000e+02	2.972457e+07
3.210000e+02	2.946273e+07
3.220000e+02	2.915022e+07
3.230000e+02	2.888347e+07
3.240000e+02	2.865053e+07
3.250000e+02	2.838932e+07
3.260000e+02	2.814757e+07
3.270000e+02	2.792215e+07
3.280000e+02	2.768056e+07
3.290000e+02	2.744413e+07
3.300000e+02	2.721176e+07
3.310000e+02	2.703204e+07
3.320000e+02	2.682643e+07
3.330000e+02	2.663352e+07
3.340000e+02	2.646184e+07
3.350000e+02	2.626657e+07
3.360000e+02	2.606410e+07
3.370000e+02	2.588490e+07
3.380000e+02	2.573492e+07
3.390000e+02	2.559083e+07
3.400000e+02	2.544099e+07
3.410000e+02	2.529624e+07
3.420000e+02	2.513283e+07
3.430000e+02	2.501156e+07
3.440000e+02	2.485086e+07
3.450000e+02	2.472685e+07
3.460000e+02	2.462149e+07
3.470000e+02	2.447087e+07
3.480000e+02	2.435543e+07
3.490000e+02	2.427154e+07
3.500000e+02	2.414138e+07
3.510000e+02	2.400780e+07
3.520000e+02	2.385916e+07
3.530000e+02	2.374356e+07
3.540000e+02	2.367705e+07
3.550000e+02	2.355107e+07
3.560000e+02	2.343528e+07
3.570000e+02	2.332215e+07
3.580000e+02	2.322201e+07
3.590000e+02	2.311048e+07
3.600000e+02	2.301438e+07
3.610000e+02	2.290742e+07
3.620000e+02	2.279965e+07
3.630000e+02	2.267287e+07
3.640000e+02	2.258191e+07
3.650000e+02	2.249759e+07
3.660000e+02	2.243040e+07
3.670000e+02	2.235396e+07
3.680000e+02	2.224493e+07
3.690000e+02	2.215923e+07
3.700000e+02	2.206632e+07
3.710000e+02	2.198278e+07
3.720000e+02	2.190323e+07
3.730000e+02	2.179736e+07
3.740000e+02	2.168943e+07
3.750000e+02	2.160928e+07
3.760000e+02	2.155616e+07
3.770000e+02	2.149717e+07
3.780000e+02	2.140391e+07
3.790000e+02	2.129915e+07
3.800000e+02	2.120914e+07
3.810000e+02	2.115203e+07
3.820000e+02	2.106337e+07
3.830000e+02	2.096122e+07
3.840000e+02	2.090046e+07
3.850000e+02	2.083967e+07
3.860000e+02	2.075636e+07
3.870000e+02	2.066990e+07
3.880000e+02	2.059435e+07
3.890000e+02	2.051844e+07
3.900000e+02	2.044138e+07
3.910000e+02	2.036036e+07
3.920000e+02	2.027917e+07
3.930000e+02	2.020000e+07
3.940000e+02	2.012931e+07
3.950000e+02	2.008221e+07
3.960000e+02	1.998074e+07
3.970000e+02	1.990821e+07
3.980000e+02	1.984028e+07
3.990000e+02	1.977456e+07
4.000000e+02	1.970685e+07
4.010000e+02	1.964354e+07
4.020000e+02	1.957526e+07
4.030000e+02	1.949432e+07
4.040000e+02	1.943618e+07
4.050000e+02	1.937052e+07
4.060000e+02	1.931529e+07
4.070000e+02	1.920998e+07
4.080000e+02	1.914349e+07
4.090000e+02	1.908534e+07
4.100000e+02	1.903120e+07
4.110000e+02	1.895723e+07
4.120000e+02	1.889707e+07
4.130000e+02	1.882237e+07
4.140000e+02	1.873299e+07
4.150000e+02	1.869072e+07
4.160000e+02	1.865198e+07
4.170000e+02	1.858643e+07
4.180000e+02	1.852796e+07
4.190000e+02	1.845685e+07
4.200000e+02	1.842848e+07
4.210000e+02	1.836334e+07
4.220000e+02	1.830841e+07
4.230000e+02	1.824217e+07
4.240000e+02	1.819824e+07
4.250000e+02	1.814856e+07
4.260000e+02	1.807553e+07
4.270000e+02	1.801962e+07
4.280000e+02	1.797180e+07
4.290000e+02	1.791751e+07
4.300000e+02	1.784466e+07
4.310000e+02	1.779427e+07
4.320000e+02	1.772896e+07
4.330000e+02	1.767964e+07
4.340000e+02	1.761840e+07
4.350000e+02	1.756540e+07
4.360000e+02	1.749954e+07
4.370000e+02	1.745127e+07
4.380000e+02	1.738748e+07
4.390000e+02	1.735290e+07
4.400000e+02	1.728690e+07
4.410000e+02	1.723438e+07
4.420000e+02	1.718128e+07
4.430000e+02	1.713392e+07
4.440000e+02	1.708913e+07
4.450000e+02	1.702739e+07
4.460000e+02	1.696295e+07
4.470000e+02	1.691621e+07
4.480000e+02	1.686755e+07
4.490000e+02	1.679433e+07
4.500000e+02	1.675265e+07
4.510000e+02	1.669173e+07
4.520000e+02	1.663838e+07
4.530000e+02	1.658020e+07
4.540000e+02	1.652769e+07
4.550000e+02	1.646781e+07
4.560000e+02	1.642513e+07
4.570000e+02	1.637756e+07
4.580000e+02	1.632715e+07
4.590000e+02	1.626882e+07
4.600000e+02	1.619696e+07
4.610000e+02	1.615094e+07
4.620000e+02	1.610185e+07
4.630000e+02	1.604546e+07
4.640000e+02	1.598801e+07
4.650000e+02	1.593797e+07
4.660000e+02	1.586699e+07
4.670000e+02	1.581385e+07
4.680000e+02	1.574553e+07
4.690000e+02	1.568511e+07
4.700000e+02	1.562347e+07
4.710000e+02	1.554709e+07
4.720000e+02	1.548455e+07
4.730000e+02	1.541325e+07
4.740000e+02	1.534922e+07
4.750000e+02	1.528516e+07
4.760000e+02	1.520356e+07
4.770000e+02	1.513465e+07
4.780000e+02	1.505312e+07
4.790000e+02	1.498546e+07
4.800000e+02	1.490004e+07
4.810000e+02	1.482695e+07
4.820000e+02	1.474709e+07
4.830000e+02	1.464855e+07
4.840000e+02	1.455899e+07
4.850000e+02	1.448233e+07
4.860000e+02	1.438369e+07
4.870000e+02	1.429545e+07
4.880000e+02	1.420534e+07
4.890000e+02	1.411581e+07
4.900000e+02	1.402356e+07
4.910000e+02	1.392818e+07
4.920000e+02	1.383063e+07
4.930000e+02	1.373502e+07
4.940000e+02	1.362239e+07
4.950000e+02	1.352611e+07
4.960000e+02	1.344113e+07
4.970000e+02	1.334385e+07
4.980000e+02	1.323979e+07
4.990000e+02	1.315092e+07
5.000000e+02	1.304483e+07
5.010000e+02	1.294506e+07
5.020000e+02	1.284767e+07
5.030000e+02	1.277810e+07
5.040000e+02	1.266964e+07
5.050000e+02	1.257953e+07
5.060000e+02	1.248871e+07
5.070000e+02	1.239729e+07
5.080000e+02	1.231775e+07
5.090000e+02	1.222954e+07
5.100000e+02	1.214509e+07
5.110000e+02	1.205953e+07
5.120000e+02	1.198030e+07
5.130000e+02	1.191229e+07
5.140000e+02	1.183465e+07
5.150000e+02	1.175112e+07
5.160000e+02	1.168441e+07
5.170000e+02	1.160512e+07
5.180000e+02	1.154817e+07
5.190000e+02	1.147446e+07
5.200000e+02	1.141009e+07
5.210000e+02	1.135414e+07
5.220000e+02	1.129699e+07
5.230000e+02	1.124611e+07
5.240000e+02	1.118609e+07
5.250000e+02	1.113598e+07
5.260000e+02	1.108992e+07
5.270000e+02	1.103612e+07
5.280000e+02	1.099667e+07
5.290000e+02	1.094064e+07
5.300000e+02	1.090520e+07
5.310000e+02	1.086579e+07
5.320000e+02	1.083473e+07
5.330000e+02	1.079528e+07
5.340000e+02	1.074414e+07
5.350000e+02	1.070827e+07
5.360000e+02	1.067288e+07
5.370000e+02	1.064170e+07
5.380000e+02	1.060304e+07
5.390000e+02	1.055968e+07
5.400000e+02	1.052224e+07
5.410000e+02	1.049588e+07
5.420000e+02	1.045992e+07
5.430000e+02	1.042678e+07
5.440000e+02	1.039450e+07
5.450000e+02	1.036881e+07
5.460000e+02	1.033735e+07
5.470000e+02	1.031017e+07
5.480000e+02	1.028444e+07
5.490000e+02	1.025977e+07
5.500000e+02	1.022937e+07
5.510000e+02	1.019141e+07
5.520000e+02	1.016172e+07
5.530000e+02	1.012759e+07
5.540000e+02	1.010918e+07
5.550000e+02	1.008516e+07
5.560000e+02	1.006993e+07
5.570000e+02	1.004459e+07
5.580000e+02	1.000953e+07
5.590000e+02	9.998189e+06
5.600000e+02	9.974120e+06
5.610000e+02	9.949978e+06
5.620000e+02	9.919757e+06
5.630000e+02	9.904766e+06
5.640000e+02	9.870750e+06
5.650000e+02	9.860654e+06
5.660000e+02	9.840146e+06
5.670000e+02	9.818272e+06
5.680000e+02	9.814417e+06
5.690000e+02	9.780461e+06
5.700000e+02	9.757388e+06
5.710000e+02	9.729807e+06
5.720000e+02	9.708475e+06
5.730000e+02	9.706882e+06
5.740000e+02	9.671739e+06
5.750000e+02	9.646271e+06
5.760000e+02	9.629493e+06
5.770000e+02	9.610503e+06
5.780000e+02	9.590635e+06
5.790000e+02	9.570444e+06
5.800000e+02	9.546794e+06
5.810000e+02	9.532667e+06
5.820000e+02	9.516272e+06
5.830000e+02	9.494080e+06
5.840000e+02	9.479017e+06
5.850000e+02	9.462582e+06
5.860000e+02	9.449907e+06
5.870000e+02	9.424141e+06
5.880000e+02	9.411120e+06
5.890000e+02	9.389993e+06
5.900000e+02	9.368498e+06
5.910000e+02	9.347741e+06
5.920000e+02	9.335953e+06
5.930000e+02	9.316243e+06
5.940000e+02	9.304038e+06
5.950000e+02	9.283258e+06
5.960000e+02	9.270577e+06
5.970000e+02	9.257613e+06
5.980000e+02	9.237553e+06
5.990000e+02	9.225504e+06
6.000000e+02	9.208484e+06
6.010000e+02	9.193200e+06
6.020000e+02	9.180799e+06
6.030000e+02	9.166704e+06
6.040000e+02	9.148107e+06
6.050000e+02	9.132500e+06
6.060000e+02	9.119098e+06
6.070000e+02	9.099969e+06
6.080000e+02	9.074379e+06
6.090000e+02	9.063504e+06
6.100000e+02	9.057723e+06
6.110000e+02	9.039758e+06
6.120000e+02	9.026319e+06
6.130000e+02	9.009326e+06
6.140000e+02	8.990204e+06
6.150000e+02	8.969539e+06
6.160000e+02	8.961119e+06
6.170000e+02	8.944525e+06
6.180000e+02	8.935452e+06
6.190000e+02	8.923529e+06
6.200000e+02	8.901059e+06
6.210000e+02	8.873116e+06
6.220000e+02	8.878654e+06
6.230000e+02	8.859151e+06
6.240000e+02	8.832539e+06
6.250000e+02	8.831977e+06
6.260000e+02	8.813841e+06
6.270000e+02	8.801011e+06
6.280000e+02	8.791278e+06
6.290000e+02	8.775669e+06
6.300000e+02	8.761718e+06
6.310000e+02	8.759455e+06
6.320000e+02	8.748242e+06
6.330000e+02	8.732588e+06
6.340000e+02	8.713702e+06
6.350000e+02	8.697832e+06
6.360000e+02	8.690518e+06
6.370000e+02	8.676483e+06
6.380000e+02	8.667377e+06
6.390000e+02	8.654771e+06
6.400000e+02	8.638366e+06
6.410000e+02	8.629065e+06
6.420000e+02	8.599992e+06
6.430000e+02	8.588604e+06
6.440000e+02	8.568009e+06
6.450000e+02	8.568009e+06
6.460000e+02	8.548509e+06
6.470000e+02	8.544814e+06
6.480000e+02	8.527280e+06
6.490000e+02	8.528303e+06
6.500000e+02	8.514132e+06
6.510000e+02	8.486546e+06
6.520000e+02	8.482591e+06
6.530000e+02	8.471459e+06
6.540000e+02	8.455898e+06
6.550000e+02	8.446673e+06
6.560000e+02	8.438939e+06
6.570000e+02	8.430695e+06
6.580000e+02	8.419004e+06
6.590000e+02	8.411128e+06
6.600000e+02	8.390788e+06
6.610000e+02	8.371405e+06
6.620000e+02	8.354302e+06
6.630000e+02	8.341368e+06
6.640000e+02	8.333576e+06
