WL	QE	DSig	MSig	Mcorr	RPI	DSD	MSD	RSD	GC
300	6.56E-02	1.68E-05	1.91E-02	9.82E-01	2.48E-04	10.647	0.056	10.695	CA-CA-3-1
310	3.49E-02	1.68E-05	2.60E-02	9.88E-01	4.71E-04	13.422	0.047	13.446	CA-CA-3-0
320	6.32E-02	4.34E-05	3.16E-02	9.92E-01	6.76E-04	9.832	0.024	9.849	CA-CA-3-0
330	1.19E-01	9.98E-05	3.59E-02	9.95E-01	8.31E-04	2.158	0.034	2.187	CA-CA-3-0
340	3.02E-01	2.85E-04	3.91E-02	9.96E-01	9.36E-04	1.161	0.055	1.211	CA-CA-3-0
350	8.60E-01	8.69E-04	4.16E-02	9.98E-01	1.01E-03	0.364	0.034	0.33	CA-B-3-1
360	2.09E+00	2.09E-03	3.81E-02	1.00E+00	1.00E-03	0.324	0.031	0.307	CA-CA-3-0
370	4.23E+00	3.22E-03	2.87E-02	1.01E+00	7.70E-04	0.127	0.042	0.088	CA-CA-3-0
380	7.12E+00	8.66E-03	5.00E-02	9.96E-01	1.21E-03	0.009	0.031	0.037	CA-B-3-1
390	9.62E+00	1.33E-02	6.20E-02	9.96E-01	1.37E-03	0.038	0.013	0.034	CA-B-3-1
400	1.18E+01	1.87E-02	7.74E-02	9.99E-01	1.59E-03	0.027	0.034	0.06	CA-B-3-0
410	1.38E+01	2.28E-02	8.64E-02	1.00E+00	1.66E-03	0.043	0.035	0.047	CA-B-3-0
420	1.57E+01	2.68E-02	9.42E-02	1.00E+00	1.72E-03	0.002	0.026	0.028	CA-B-2-0
430	1.76E+01	3.01E-02	9.86E-02	1.00E+00	1.73E-03	0.003	0.002	0.005	CA-B-2-0
440	1.96E+01	3.49E-02	1.07E-01	1.00E+00	1.78E-03	0.001	0.004	0.005	CA-B-2-0
450	2.25E+01	4.17E-02	1.16E-01	1.00E+00	1.86E-03	0.007	0.009	0.007	B-B-3-1
460	2.72E+01	5.38E-02	1.28E-01	1.00E+00	1.99E-03	0.003	0.001	0.003	B-B-2-0
470	3.53E+01	8.45E-02	1.59E-01	1.00E+00	2.40E-03	0.042	0.017	0.027	B-B-3-0
480	4.64E+01	9.26E-02	1.36E-01	1.01E+00	2.03E-03	0.012	0.003	0.013	B-B-3-1
490	5.76E+01	1.11E-01	1.35E-01	1.01E+00	1.96E-03	0	0.008	0.007	B-B-2-0
500	6.51E+01	1.22E-01	1.34E-01	1.01E+00	1.90E-03	0.024	0.02	0.011	B-B-3-1
510	6.94E+01	1.24E-01	1.30E-01	1.01E+00	1.81E-03	0.003	0.002	0.001	B-B-2-0
520	7.18E+01	1.26E-01	1.30E-01	1.01E+00	1.77E-03	0.034	0.036	0.01	B-B-3-0
530	7.30E+01	1.25E-01	1.29E-01	1.01E+00	1.73E-03	0.015	0.021	0.008	B-B-3-1
540	7.31E+01	1.22E-01	1.28E-01	1.01E+00	1.69E-03	0.001	0.004	0.005	B-B-2-0
550	7.28E+01	1.16E-01	1.24E-01	1.01E+00	1.61E-03	0.009	0.006	0.003	B-B-2-0
560	7.21E+01	1.08E-01	1.17E-01	1.01E+00	1.51E-03	0.004	0.003	0.001	B-B-2-0
570	7.14E+01	9.81E-02	1.09E-01	1.01E+00	1.39E-03	0.006	0.008	0.01	B-B-3-1
580	7.08E+01	1.09E-01	1.23E-01	1.01E+00	1.55E-03	0.005	0.002	0.003	B-B-2-0
590	7.05E+01	1.05E-01	1.21E-01	1.01E+00	1.51E-03	0.026	0.031	0.006	B-B-3-0
600	7.07E+01	1.20E-01	9.90E-02	1.00E+00	1.71E-03	0.022	0.015	0.007	B-B-3-1
610	7.11E+01	1.31E-01	1.09E-01	1.00E+00	1.86E-03	0.009	0.011	0.002	B-B-2-0
